programme_id,university_name,programme_title,po_url,status
w15232,Heilbronn University,Software Engineering,https://www.hs-heilbronn.de/en/software-engineering-master,found_direct
w23207,Technische Hochschule K�ln,Automation and IT,http://www.th-koeln.de/studium/automation--it-master--ordnungen-und-formulare_3959.php,found_direct
w47553,University of Ulm,Cognitive Systems,https://campusonline.uni-ulm.de/qislsf/pub/studienplan/SP-MA-CogSys-FSPO2024.pdf,found_direct
w6156,University of Osnabr�ck,Cognitive Science,https://www.uni-osnabrueck.de/studieren/unsere-studienangebote/abschluesse-und-ordnungen,found_direct
w61589,Technische Universit�t Dresden,Computational Modelling and Simulation,https://tu-dresden.de/ing/informatik/studium/studienangebot/master-studiengaenge/computational-modeling-and-simulation,found_direct
w63840,Eberhard Karls University T�bingen,Machine Learning,,not_found
w63894,University of D�sseldorf,Artificial Intelligence and Data Science,https://www.hhu.de/fileadmin/redaktion/ZUV/Justitiariat/Amtliche_Bekanntmachungen/2021/2021_11_26_AB_53.pdf,found_direct
w63909,Saarland University,Data Science and Artificial Intelligence,,not_found
w63932,University of Osnabr�ck,Cognitive Computing,https://www.uni-osnabrueck.de/studieren/unsere-studienangebote/abschluesse-und-ordnungen,found_direct
w64006,SRH University of Applied Sciences Heidelberg,Computer Science - Big Data and Artificial Intelligence,https://www.srh-university.de/en/master/computer-science-big-data-artificial-intelligence/i/,found_direct
w64082,University of Bayreuth,Scientific Computing,https://www.amtliche-bekanntmachungen.uni-bayreuth.de/de/pruefungsordnungen/master/index.html,found_direct
w64087,TU Dortmund University,Econometrics,https://www.tu-dortmund.de/studierende/im-studium/pruefungsangelegenheiten/pruefungsordnungen/,found_direct
w64135,IU International University,Artificial Intelligence,https://www.iu.org/en-in/master/artificial-intelligence/,found_direct
w64325,Technical University of Darmstadt,Logistics and supply chain management,https://www.intern.tu-darmstadt.de/verwaltung/dez_ii/hochschulrecht/gesetze_und_ordnungen/index.en.jsp,found_direct
w64654,University of Erlangen-Nuremberg,Artificial Intelligence,,not_found
w64695,University of W�rzburg,Artificial Intelligence & Extended Reality,https://www.informatik.uni-wuerzburg.de/en/studium/studiengaenge/master-artificial-intelligence-extended-reality/,found_direct
w64711,Technische Hochschule Ingolstadt,Engineering and Management,https://www.thi.de/hochschule/ueber-uns/hochschulorganisation/stabsstelle-recht/satzungen-fakultaet-wirtschaftsingenieurwesen/masterstudiengaenge-wi/spo-master-engineering-and-management/,found_direct
w64745,Ansbach University of Applied Sciences,Smart Energy Systems,https://www.hs-ansbach.de/hochschule/amtliche-bekanntmachungen-und-veroeffentlichungen/thematische-uebersicht-der-satzungen-nicht-amtlich#c29163,found_direct
w64772,Gisma University of Applied Sciences,"Data Science, AI and Digital Business",https://www.gisma.com/programmes/postgraduate/msc-data-science-ai-and-digital-business,found_direct
w64792,University of Passau,Artificial Intelligence Engineering,https://www.uni-passau.de/fileadmin/dokumente/beschaeftigte/Rechtsvorschriften/StO_und_PO/FMI/FStuPO_Master_AIE.pdf,found_direct
w64814,Technische Hochschule Deggendorf,Artificial Intelligence for Smart Sensors and Actuators,https://www.th-deg.de/de/hochschule/hochschulrecht#accordion-spo-nuw,found_direct
w64998,Saarland University,Cybersecurity,https://www.uni-saarland.de/en/study/programmes/master/cybersecurity.html,found_direct
w65096,Technical University of Applied Sciences W�rzburg-Schweinfurt,Artificial Intelligence,https://mai.thws.de/studierende/studien-und-pruefungsordnung/,found_direct
w65719,Brandenburgische Technische Universit�t Cottbus-Senftenberg,Artificial Intelligence,https://www.b-tu.de/artificial-intelligence-ms/detailinformationen/ordnungen-englische-uebersetzung-nicht-rechtsverbindlich,found_direct
w66233,Technische Hochschule Ingolstadt,Artificial Intelligence,https://www.thi.de/hochschule/ueber-uns/hochschulorganisation/stabsstelle-recht/satzungen-fakultaet-informatik/masterstudiengaenge-i/master-kuenstliche-intelligenz/,found_direct
w67120,Hof University of Applied Sciences,Artificial Intelligence and Robotics,http://www.hof-university.de/ueber-die-hochschule/aktuelles/amtsblatt.html,found_direct
w67189,ESMT European School of Management and Technology,Master's in Analytics and Artificial Intelligence,https://esmt.berlin/master-programs/master-analytics-artificial-intelligence,found_fallback
w67521,Technische Hochschule Ingolstadt,AI Engineering of Autonomous Systems,https://www.thi.de/hochschule/ueber-uns/hochschulorganisation/stabsstelle-recht/satzungen-fakultaet-elektro-und-informationstechnik/masterstudiengaenge-e/spo-master-ai-engineering-of-autonomous-systems/,found_direct
w67708,Technische Hochschule Deggendorf,Applied Artificial Intelligence for Digital Production Management,https://www.th-deg.de/de/hochschule/hochschulrecht#accordion-spo-nuw,found_direct
w68298,Constructor University,Computer Science and Software Engineering,https://en.m.wikipedia.org/wiki/Computer,found_fallback
w69294,Technical University of Darmstadt,Artificial Intelligence and Machine Learning,https://www.informatik.tu-darmstadt.de/media/informatik/fb20_studium/formulare_und_dokumente/ordnungen/ordnungen_aiml/pruefungsordnung_aim_2023/Checklist_Eligibility_AIM_TUDarmstadt.pdf,found_direct
w70184,Munich University of Technology,AI in Society,https://openai.com/,found_fallback
w70197,University of Technology Nuremberg,Artificial Intelligence & Robotics,,not_found
w70240,University of Europe for Applied Sciences,IoT Devices & Smart Services,https://www.geeksforgeeks.org/computer-networks/introduction-to-internet-of-things-iot-set-1/,found_fallback
w70242,University of Europe for Applied Sciences,Generative Design & AI,https://en.m.wikipedia.org/wiki/Generative_AI,found_fallback
