programme_id,university_name,programme_title,programme_website_url,status
w67521,Technische Hochschule Ingolstadt,AI Engineering of Autonomous Systems,https://www.thi.de/elektro-und-informationstechnik/studiengaenge/ai-engineering-of-autonomous-systems-meng/,found
w76133,Munich University of Technology,AI in Biomedicine,https://www.cit.tum.de/cit/studium/studiengaenge/ai-in-biomedicine/,found
w70184,Munich University of Technology,AI in Society,https://www.sot.tum.de/sot/studium/ai-in-society/,found
w76327,Heilbronn University,Applied Artificial Intelligence,https://www.hs-heilbronn.de/en/applied-artificial-intelligence-master,found
w67708,Technische Hochschule Deggendorf,Applied Artificial Intelligence for Digital Production Management,https://www.th-deg.de/dm-m,found
w64135,IU International University,Artificial Intelligence,https://iu.prf.hn/click/camref:1101l4noP/creativeref:1101l40436,found
w64654,University of Erlangen-Nuremberg,Artificial Intelligence,https://www.ai.study.fau.eu/,found
w65096,Technical University of Applied Sciences Würzburg-Schweinfurt,Artificial Intelligence,https://mai.thws.de/,found
w65719,Brandenburgische Technische Universität Cottbus-Senftenberg,Artificial Intelligence,https://www.b-tu.de/artificial-intelligence-ms,found
w66233,Technische Hochschule Ingolstadt,Artificial Intelligence,https://www.thi.de/informatik/studiengaenge/artificial-intelligence-msc/,found
w76659,University of Bonn,Artificial Intelligence,https://www.informatik.uni-bonn.de/en/studies,found
w64695,University of Würzburg,Artificial Intelligence & Extended Reality,https://www.informatik.uni-wuerzburg.de/en/studies/prospective-students/xtai-master-extended-artificial-intelligence/programme/,found
w70197,University of Technology Nuremberg,Artificial Intelligence & Robotics,https://www.utn.de/en/study/ai-robotics-en/,found
w76735,SRH University of Applied Sciences Heidelberg,Artificial Intelligence (AI) in Business,https://www.srh-university.de/en/plp/msc-artificial-intelligence-for-business/k/b/?utm_source=wkz-HSptlHSK&mtm_placement=wkz-HSptlHSK&mtm_source=ptl&mtm_medium=HSK,found
w63894,University of Düsseldorf,Artificial Intelligence and Data Science,https://www.hhu.de/studium/studienangebot/studiengang-informationen/artificial-intelligence-and-data-science-master,found
w69294,Technical University of Darmstadt,Artificial Intelligence and Machine Learning,https://www.tu-darmstadt.de/studieren/studieninteressierte/studienangebot_studiengaenge/studiengang_334592.de.jsp,found
w67120,Hof University of Applied Sciences,Artificial Intelligence and Robotics,,not_found
w64792,University of Passau,Artificial Intelligence Engineering,https://www.uni-passau.de/master/artificial-intelligence/,found
w64814,Technische Hochschule Deggendorf,Artificial Intelligence for Smart Sensors and Actuators,https://www.th-deg.de/ki-m,found
w23207,Technische Hochschule Köln,Automation and IT,http://www.th-koeln.de/studium/automation--it-master_3429.php,found
w71054,Technische Hochschule Deggendorf,Automotive Software Engineering,https://www.th-deg.de/ase-m,found
w63932,University of Osnabrück,Cognitive Computing,https://www.uni-osnabrueck.de/studieren/unsere-studienangebote/studiengaenge-von-a-z/cognitive-computing-master-of-science-berufsbegleitend,found
w6156,University of Osnabrück,Cognitive Science,https://www.uni-osnabrueck.de/studieren/unsere-studienangebote/studiengaenge-von-a-z/cognitive-science-master-of-science,found
w47553,University of Ulm,Cognitive Systems,https://www.uni-ulm.de/in/fakultaet/studium/studiengaenge/studiengang/course/cognitive-systems-master/,found
w76982,Karlsruhe Institute of Technology (KIT),Computational and Data Science,https://www.sle.kit.edu/vorstudium/master-computational-data-science.php,found
w61589,Technische Universität Dresden,Computational Modelling and Simulation,https://tu-dresden.de/sins/ma-cms,found
w73116,Karlsruhe Institute of Technology (KIT),Computer Science,https://www.sle.kit.edu/vorstudium/master-computer-science.php,found
w74171,Ruhr University Bochum,Computer Science,https://studienangebot.ruhr-uni-bochum.de/de/computer-science/master-1-fach,found
w64006,SRH University of Applied Sciences Heidelberg,Computer Science - Big Data and Artificial Intelligence,https://www.srh-university.de/de/plp/msc-computer-science-big-data-ai/i/k/?utm_source=wkz-HSptlHSK&mtm_placement=wkz-HSptlHSK&mtm_source=ptl&mtm_source=HSK,found
w68298,Constructor University,Computer Science and Software Engineering,https://constructor.university/programs/graduate-education/computer-science-software-engineering,found
w64998,Saarland University,Cybersecurity,https://cysec.uni-saarland.de/master/cybersecurity/,found
w71729,Munich University of Technology,Data & Society,https://www.gov.sot.tum.de/gov/studies/data-society/,found
w7041,TU Dortmund University,Data Science,https://www.tu-dortmund.de/studierende/studienangebot/data-science-48/,found
w70803,Bielefeld University of Applied Sciences and Arts (HSBI),Data Science (Research Master),https://www.hsbi.de/studiengaenge/data-science,found
w63909,Saarland University,Data Science and Artificial Intelligence,https://saarland-informatics-campus.de/studium-studies/master-deutsch/,found
w73355,University of Hamburg,Data Science and Artificial Intelligence,https://www.uni-hamburg.de/campuscenter/studienangebot/studiengang.html?1713942448,found
w64772,Gisma University of Applied Sciences,"Data Science, AI and Digital Business",,not_found
w72392,Weihenstephan-Triesdorf University of Applied Sciences,Digital Farming,https://www.hswt.de/studium/studienangebot/master/digital-farming,found
w77134,University of Applied Sciences Neu-Ulm,Digital Leadership in Information Management,,not_found
w64087,TU Dortmund University,Econometrics,https://www.tu-dortmund.de/studierende/studienangebot/econometrics-830/,found
w64711,Technische Hochschule Ingolstadt,Engineering and Management,https://www.thi.de/wirtschaftsingenieurwesen/studiengaenge/engineering-and-management-msc,found
w70242,University of Europe for Applied Sciences,Generative Design & AI,,not_found
w73251,Albstadt-Sigmaringen University - University of Engineering and Economics,Industrial Artificial Intelligence,https://www.hs-albsig.de/studienangebot/masterstudiengaenge/industrial-artificial-intelligence/,found
w76947,SRH University of Applied Sciences Heidelberg,Information Technology - Artificial Intelligence,https://www.srh-university.de/en/plp/meng-information-technology-ai/i/k/?utm_source=wkz-HSptlHSK&mtm_placement=wkz-HSptlHSK&mtm_source=ptl&mtm_medium=HSK,found
w74175,Georg Simon Ohm University of Applied Sciences Nuremberg,Intelligent & Autonomous Systems,https://www.th-nuernberg.de/studiengang/intelligent-autonomous-systems-meng/,found
w70240,University of Europe for Applied Sciences,IoT Devices & Smart Services,,not_found
w64325,Technical University of Darmstadt,Logistics and supply chain management,https://www.tu-darmstadt.de/studieren/studieninteressierte/studienangebot_studiengaenge/studiengang_255424.en.jsp,found
w63840,Eberhard Karls University Tübingen,Machine Learning,https://www.uni-tuebingen.de/de/140323,found
w67189,ESMT European School of Management and Technology,Master's in Analytics and Artificial Intelligence,https://esmt.berlin/degrees/master-programs/master-analytics-artificial-intelligence,found
w72710,Brandenburgische Technische Universität Cottbus-Senftenberg,Mathematical Data Science,https://www.b-tu.de/math-data-science-ms/,found
w73002,University of Augsburg,Mathematics and Computer Science,https://www.uni-augsburg.de/en/fakultaet/mntf/math/studium/studiengaenge/mathe-info-master/,found
w72792,Heidelberg University,Mathematics of Machine Learning and Data Science,https://www.uni-heidelberg.de/de/studium/alle-studienfaecher/mathematik/mathematics-of-machine-learning-and-data-science-master,found
w70254,Technische Hochschule Deggendorf,Robotics,https://th-deg.de/mro-m,found
w64082,University of Bayreuth,Scientific Computing,https://www.uni-bayreuth.de/en/master/scientific-computing,found
w64745,Ansbach University of Applied Sciences,Smart Energy Systems,https://www.hs-ansbach.de/master/smart-energy-systems/,found
w15232,Heilbronn University,Software Engineering,http://www.hs-heilbronn.de/en/sem,found
w71290,University of Hildesheim,Software Engineering (International Master’s degree),https://www.uni-hildesheim.de/studium/studienangebot/masterstudium/master-entwurf-webseite-internationales-software-engineering-international-master-of-science-msc/internationales-software-engineering-international-master-of-science-msc/,found
