programme_id,university_name,programme_title
w67521,Technische Hochschule Ingolstadt,AI Engineering of Autonomous Systems
w76133,Munich University of Technology,AI in Biomedicine
w70184,Munich University of Technology,AI in Society
w76327,Heilbronn University,Applied Artificial Intelligence
w67708,Technische Hochschule Deggendorf,Applied Artificial Intelligence for Digital Production Management
w64135,IU International University,Artificial Intelligence
w64654,University of Erlangen-Nuremberg,Artificial Intelligence
w65096,Technical University of Applied Sciences Würzburg-Schweinfurt,Artificial Intelligence
w65719,Brandenburgische Technische Universität Cottbus-Senftenberg,Artificial Intelligence
w66233,Technische Hochschule Ingolstadt,Artificial Intelligence
w76659,University of Bonn,Artificial Intelligence
w64695,University of Würzburg,Artificial Intelligence & Extended Reality
w70197,University of Technology Nuremberg,Artificial Intelligence & Robotics
w76735,SRH University of Applied Sciences Heidelberg,Artificial Intelligence (AI) in Business
w63894,University of Düsseldorf,Artificial Intelligence and Data Science
w69294,Technical University of Darmstadt,Artificial Intelligence and Machine Learning
w67120,Hof University of Applied Sciences,Artificial Intelligence and Robotics
w64792,University of Passau,Artificial Intelligence Engineering
w64814,Technische Hochschule Deggendorf,Artificial Intelligence for Smart Sensors and Actuators
w23207,Technische Hochschule Köln,Automation and IT
w71054,Technische Hochschule Deggendorf,Automotive Software Engineering
w63932,University of Osnabrück,Cognitive Computing
w6156,University of Osnabrück,Cognitive Science
w47553,University of Ulm,Cognitive Systems
w76982,Karlsruhe Institute of Technology (KIT),Computational and Data Science
w61589,Technische Universität Dresden,Computational Modelling and Simulation
w73116,Karlsruhe Institute of Technology (KIT),Computer Science
w74171,Ruhr University Bochum,Computer Science
w64006,SRH University of Applied Sciences Heidelberg,Computer Science - Big Data and Artificial Intelligence
w68298,Constructor University,Computer Science and Software Engineering
w64998,Saarland University,Cybersecurity
w71729,Munich University of Technology,Data & Society
w7041,TU Dortmund University,Data Science
w70803,Bielefeld University of Applied Sciences and Arts (HSBI),Data Science (Research Master)
w63909,Saarland University,Data Science and Artificial Intelligence
w73355,University of Hamburg,Data Science and Artificial Intelligence
w64772,Gisma University of Applied Sciences,"Data Science, AI and Digital Business"
w72392,Weihenstephan-Triesdorf University of Applied Sciences,Digital Farming
w77134,University of Applied Sciences Neu-Ulm,Digital Leadership in Information Management
w64087,TU Dortmund University,Econometrics
w64711,Technische Hochschule Ingolstadt,Engineering and Management
w70242,University of Europe for Applied Sciences,Generative Design & AI
w73251,Albstadt-Sigmaringen University - University of Engineering and Economics,Industrial Artificial Intelligence
w76947,SRH University of Applied Sciences Heidelberg,Information Technology - Artificial Intelligence
w74175,Georg Simon Ohm University of Applied Sciences Nuremberg,Intelligent & Autonomous Systems
w70240,University of Europe for Applied Sciences,IoT Devices & Smart Services
w64325,Technical University of Darmstadt,Logistics and supply chain management
w63840,Eberhard Karls University Tübingen,Machine Learning
w67189,ESMT European School of Management and Technology,Master's in Analytics and Artificial Intelligence
w72710,Brandenburgische Technische Universität Cottbus-Senftenberg,Mathematical Data Science
w73002,University of Augsburg,Mathematics and Computer Science
w72792,Heidelberg University,Mathematics of Machine Learning and Data Science
w70254,Technische Hochschule Deggendorf,Robotics
w64082,University of Bayreuth,Scientific Computing
w64745,Ansbach University of Applied Sciences,Smart Energy Systems
w15232,Heilbronn University,Software Engineering
w71290,University of Hildesheim,Software Engineering (International Master’s degree)
