programme_id,university_name,programme_title,programme_website_url,status
w72714,giessen,agrobioinformatics,,not_found
w76981,frankfurt,ai digital learning instruction,,not_found
w67521,ingolstadt,ai engineering autonomous systems,https://www.thi.de/elektro-und-informationstechnik/studiengaenge/ai-engineering-of-autonomous-systems-meng/,found
w76133,munich,ai biomedicine,,not_found
w70184,munich,ai society,,not_found
w76327,heilbronn,ai,https://www.hs-heilbronn.de/en/applied-artificial-intelligence-master,found
w67708,deggendorf,ai digital production management,https://www.th-deg.de/dm-m,found
w65222,international school management,business data science,,not_found
w72984,srh heidelberg,computerscience,,not_found
w48416,deggendorf,computerscience,,not_found
w60464,schmalkalden,computerscience,https://www.hs-schmalkalden.de/studium/studienangebot-hs-schmalkalden/master-studiengaenge/applied-computer-science-msc.html,found
w64855,göttingen,data science,,not_found
w59419,srh heidelberg,data science ai,,not_found
w64193,rwth aachen,health informatics digital medicine,,not_found
w41989,mittweida,mathematics network data,,not_found
w63879,hof,research computerscience,,not_found
w64135,iu international,ai,,not_found
w64654,erlangennuremberg,ai,https://www.ai.study.fau.eu/,found
w65096,würzburgschweinfurt,ai,https://mai.thws.de/,found
w65719,brandenburg cottbussenftenberg,ai,https://www.b-tu.de/artificial-intelligence-ms,found
w66233,ingolstadt,ai,,not_found
w76659,bonn,ai,,not_found
w64695,würzburg,ai extended reality,,not_found
w70197,nuremberg,ai robotics,https://www.utn.de/en/study/ai-robotics-en/,found
w76735,srh heidelberg,ai ai business,,not_found
w51935,neuulm,ai data analytics,,not_found
w63894,düsseldorf,ai data science,https://www.hhu.de/studium/studienangebot/studiengang-informationen/artificial-intelligence-and-data-science-master,found
w64682,deggendorf,ai data science,,not_found
w72154,furtwangen computerscience economics media health,ai data science digital business management,,not_found
w70018,bremen,ai intelligent systems,,not_found
w69294,darmstadt,ai machine learning,https://www.tu-darmstadt.de/studieren/studieninteressierte/studienangebot_studiengaenge/studiengang_334592.de.jsp,found
w67120,hof,ai robotics,http://www.hof-university.de/studierende/studienberatung.html,found
w64792,passau,ai engineering,https://www.uni-passau.de/master/artificial-intelligence/,found
w64814,deggendorf,ai smart sensors actuators,https://www.th-deg.de/ki-m,found
w23207,köln,automation it,http://www.th-koeln.de/studium/automation--it-master_3429.php,found
w21156,chemnitz,automotive software engineering,,not_found
w71054,deggendorf,automotive software engineering,https://www.th-deg.de/ase-m,found
w7153,bonnrhinesieg,autonomous systems,,not_found
w37487,jena,biochemistry,,not_found
w64741,hallewittenberg,biodiversity,,not_found
w24840,potsdam,bioinformatics,,not_found
w7880,saarland,bioinformatics,,not_found
w75171,rhinelandpalatinate kaiserslauternlandau,biology bioinformatics,,not_found
w46757,ulm,biophysics,,not_found
w26555,mannheim,business computing,,not_found
w5845,furtwangen computerscience economics media health,business consulting,,not_found
w53974,marburg,business informatics,,not_found
w39354,passau,business informatics information systems,,not_found
w64844,emdenleer,business intelligence data analytics,,not_found
w40840,berlin school economics law,business intelligence process management,,not_found
w67239,gisma,business management cybersecurity,,not_found
w7727,marburg,business mathematics,,not_found
w33754,munich,cartography,,not_found
w39856,dresden,cartography,,not_found
w64854,potsdam,climate earth water sustainability,,not_found
w63932,osnabrück,cognitive computing,,not_found
w40119,ruhr bochum,cognitive science,,not_found
w6156,osnabrück,cognitive science,https://www.uni-osnabrueck.de/studieren/unsere-studienangebote/studiengaenge-von-a-z/cognitive-science-master-of-science,found
w63850,darmstadt,cognitive science,,not_found
w47553,ulm,cognitive systems,https://www.uni-ulm.de/in/fakultaet/studium/studiengaenge/studiengang/course/cognitive-systems-master/,found
w44744,potsdam,cognitive systems language learning reasoning,,not_found
w76982,karlsruhe institute karlsruhe,computational data science,https://www.sle.kit.edu/vorstudium/master-computational-data-science.php,found
w65338,göttingen,computational biology bioinformatics,,not_found
w6061,ruhr bochum,computational engineering,,not_found
w6164,erlangennuremberg,computational engineering,,not_found
w7029,rostock,computational engineering,,not_found
